
کد نماد,گروه,گروه های صنعت,تابلو,نماد,نام لاتین,نماد,نام
IRR1KRTI0101,N2,محصولات كاغذي,فهرست اوليه,KRTX1,Iran Carton-R,چكارنح,ح . كارتن‌ ايران‌
IRO1KSKA0001,N2,محصولات كاغذي,فهرست اوليه,KSKA1,Kaveh Paper,چكاوه,صنايع‌كاغذسازي‌كاوه‌
IRR1KSKA0101,N2,محصولات كاغذي,فهرست اوليه,KSKX1,Kaveh Paper-R,چكاوهح,ح . صنايع‌كاغذسازي‌كاوه‌
IRO1NEOP0001,N2,محصولات چوبي,فهرست اوليه,NEOP1,Bahman Neopan,چنوپا,نيوپان‌ 22 بهمن‌
IRR1NEOP0101,N2,محصولات چوبي,فهرست اوليه,NEOX1,Bahman Neopan-R,چنوپاح,ح . نيوپان‌ 22 بهمن‌
IRO1HJPT0001,N2,حمل ونقل، انبارداري و ارتباطات,فهرست اوليه,HJPT1,Petr. Tran.,حپترو,حمل و نقل پتروشيمي( سهامي عام
IRR1HJPT0101,N2,حمل ونقل، انبارداري و ارتباطات,فهرست اوليه,HJPX1,Petr. Tran.-R,حپتروح,ح . حمل و نقل پتروشيمي
IRO1TAYD0001,N1,حمل ونقل، انبارداري و ارتباطات,تابلو اصلي,TAYD1,Tidewater,حتايد,تايدواترخاورميانه
IRR1TAYD0101,N1,حمل ونقل، انبارداري و ارتباطات,تابلو اصلي,TAYX1,Tidewater-R,حتايدح,ح . تايدواترخاورميانه‌
IRO1HTOK0001,N2,حمل ونقل، انبارداري و ارتباطات,فهرست اوليه,HTOK1,Tuka Trans.,حتوكا,حمل‌ونقل‌توكا
IRR1HTOK0101,N2,حمل ونقل، انبارداري و ارتباطات,فهرست اوليه,HTOX1,Tuka Trans.-R,حتوكاح,ح . حمل‌ونقل‌توكا
IRO1HFRS0001,N2,حمل ونقل، انبارداري و ارتباطات,فهرست اوليه,HFRS1,Khalij Fars Trans,حفارس,حمل و نقل بين المللي خليج فارس
IRO1HSHM0001,N1,استخراج نفت گاز و خدمات جنبي جز اکتشاف,تابلو اصلي,HSHM1,North Drilling,حفاري,حفاري شمال
IRR1HSHM0101,N1,استخراج نفت گاز و خدمات جنبي جز اکتشاف,تابلو اصلي,HSHX1,North Drilling-R,حفاريح,ح . حفاري شمال
IRO1KFJR0001,N1,حمل و نقل آبي,تابلو فرعي,KFJR1,IRI Marine Co.,حفجر,كشتيراني والفجر
IRO1KSHJ0001,N2,حمل ونقل، انبارداري و ارتباطات,فهرست اوليه,KSHJ1,IRI Marine Co.,حكشتي,كشتيراني جمهوري اسلامي ايران
IRR1KSHJ0101,N2,حمل ونقل، انبارداري و ارتباطات,فهرست اوليه,KSHX1,IRI Marine Co.-R,حكشتيح,ح . كشتيراني ج. ا. ا
IRO1AZIN0001,N2,خودرو و ساخت قطعات,فهرست اوليه,AZIN1,Saipa Azin,خاذين,سايپاآذين‌
IRR1AZIN0101,N2,خودرو و ساخت قطعات,فهرست اوليه,AZIX1,Saipa Azin-R,خاذينح,ح . سايپاآذين‌
IRO1ATIR0001,N1,خودرو و ساخت قطعات,تابلو فرعي,ATIR1,Iran Tractor F.,خاهن,آهنگري‌ تراكتورسازي‌ ايران‌
IRO1KAVR0001,N2,خودرو و ساخت قطعات,فهرست اوليه,KAVR1,Iran Khodro D.,خاور,ايران‌ خودروديزل‌
IRR1KAVR0101,N2,خودرو و ساخت قطعات,فهرست اوليه,KAVX1,Iran Khodro D.-R,خاورح,ح . ايران‌ خودروديزل‌
IRO1BHMN0001,N1,خودرو و ساخت قطعات,تابلو اصلي,BHMN1,Bahman Group,خبهمن,گروه‌بهمن‌
IRR1BHMN0101,N1,خودرو و ساخت قطعات,تابلو اصلي,BHMX1,Bahman Group-R,خبهمنح,ح . گروه‌بهمن‌
IRO1PKOD0001,N2,خودرو و ساخت قطعات,فهرست اوليه,PKOD1,Pars Khodro,خپارس,پارس‌ خودرو
IRR1PKOD0101,N2,خودرو و ساخت قطعات,فهرست اوليه,PKOX1,Pars Khodro-R,خپارسح,ح . پارس‌ خودرو
IRO1SZPO0001,N2,خودرو و ساخت قطعات,فهرست اوليه,SZPO1,Sazeh Pouyesh,خپويش,سازه‌ پويش‌
IRR1SZPO0101,N2,خودرو و ساخت قطعات,فهرست اوليه,SZPX1,Sazeh Pouyesh-R,خپويشح,ح . سازه‌ پويش‌
IRO1RTIR0001,N2,خودرو و ساخت قطعات,فهرست اوليه,RTIR1,I. T. Foundry,ختراك,ريخته‌گري‌ تراكتورسازي‌ ايران‌
IRR1RTIR0101,N1,خودرو و ساخت قطعات,تابلو فرعي,RTIX1,I. T. Foundry-R,ختراكح,ح . ريخته‌گري‌ تراكتورسازي‌
IRO1RADI0001,N2,خودرو و ساخت قطعات,فهرست اوليه,RADI1,Iran Radiator,ختور,رادياتور ايران‌
IRR1RADI0101,N2,خودرو و ساخت قطعات,فهرست اوليه,RADX1,Iran Radiator-R,ختورح,ح . رادياتور ايران‌
IRO1GHAT0001,N1,خودرو و ساخت قطعات,تابلو فرعي,GHAT1,Iran Auto-Parts,ختوقا,قطعات‌ اتومبيل‌ ايران‌
IRR1GHAT0101,N1,خودرو و ساخت قطعات,تابلو فرعي,GHAX1,Iran Auto-Parts-R,ختوقاح,ح . قطعات‌ اتومبيل‌ ايران‌
IRO1CHAR0001,N1,خودرو و ساخت قطعات,تابلو فرعي,CHAR1,Charkheshgar,خچرخش,چرخشگر
IRR1CHAR0101,N1,خودرو و ساخت قطعات,تابلو فرعي,CHAX1,Charkheshgar-R,خچرخشح,ح . چرخشگر
IRO1KRSN0001,N2,محصولات شيميايي,فهرست اوليه,KRSN1,Khorasan Petro.,خراسان,پتروشيمي خراسان
IRO1RIIR0001,N2,خودرو و ساخت قطعات,فهرست اوليه,RIIR1,Iran Casting,خريخت,صنايع‌ريخته‌گري‌ايران‌
IRR1RIIR0101,N2,خودرو و ساخت قطعات,فهرست اوليه,RIIX1,Iran Casting-R,خريختح,ح . صنايع‌ريخته‌گري‌ايران‌
IRO1RINM0001,N2,خودرو و ساخت قطعات,فهرست اوليه,RINM1,Mashad Wheel,خرينگ,رينگ‌سازي‌مشهد
IRR1RINM0101,N2,خودرو و ساخت قطعات,فهرست اوليه,RINX1,Mashad Wheel-R,خرينگح,ح . رينگ‌سازي‌مشهد
